Player_num,Player,mu.hat.i,V.hat.i,N,mu.hat.MLE.i,p_val,stroke_category
01706,Davis Love III,-0.018487694487302576,1.2495580360551893e-4,740,-0.028166216216216233,0.09815147574061132,Putting
21528,Henrik Stenson,0.01877558764342438,1.3004684607224957e-4,777,0.03128571428571429,0.09967498343966744,Putting
30692,Scott Stallings,-0.018354483032581,1.2488283637416227e-4,859,-0.027947613504074504,0.10049785911520395,Putting
20766,Padraig Harrington,-0.0186381031593149,1.3370708555668673e-4,853,-0.02952520515826495,0.10699468465464868,Putting
29974,Branden Grace,0.019612667295585494,1.4947682579184889e-4,595,0.036089075630252106,0.10867712478389353,Putting
30911,Tommy Fleetwood,-0.025463111748428992,2.545622303254125e-4,139,-0.09451079136690647,0.110503886292245,Putting
23548,Bill Lunde,-0.019416758116231635,1.494373795640773e-4,639,-0.033179968701095484,0.11220648030300567,Putting
26331,Charl Schwartzel,-0.018279321574379937,1.3649356509783453e-4,716,-0.02930586592178769,0.11767617225163966,Putting
24912,Will MacKenzie,-0.01987392103646536,1.6412486829e-4,652,-0.03665644171779142,0.12082931729430155,Putting
26758,David Hearn,0.013520120395349841,8.041166778033062e-5,1496,0.0181764705882353,0.13162591271922663,Putting
25349,Tim Wilkinson,-0.015267865869049034,1.0477786318769685e-4,1021,-0.02127424094025464,0.1358119730327311,Putting
20104,Ken Duke,-0.013432010850282994,9.08510714350156e-5,1374,-0.017688500727802006,0.1587728026787413,Putting
25345,Carl Pettersson,0.011994617175901157,7.323482941716303e-5,1687,0.01570717249555425,0.16103138538322223,Putting
35541,John Peterson,-0.012585794242719887,8.12580350186329e-5,1348,-0.015989614243323465,0.1626544356554864,Putting
20396,Lee Westwood,0.017572964541365917,1.6427635389204513e-4,556,0.035303956834532385,0.17035522510173423,Putting
20160,Charlie Wi,-0.021005515643482853,2.368967710598745e-4,212,-0.06448584905660378,0.17233097331450212,Putting
01945,Kenny Perry,-0.01881152641490949,1.969378745515058e-4,349,-0.04205444126074499,0.18009027006948822,Putting
24361,Pat Perez,0.012244378833264118,8.459380731713625e-5,1457,0.016803706245710363,0.1830988480345564,Putting
28500,Martin Flores,-0.012602858239337243,9.123558517084089e-5,1385,-0.0165826714801444,0.1870248234524,Putting
24507,Jason Bohn,0.011550063231306635,7.669558577570916e-5,1529,0.015360366252452585,0.187215432701835,Putting
29478,Kevin Kisner,0.010737760014903603,6.679282863884236e-5,1642,0.013739951278928155,0.1888936429946803,Putting
30736,Oscar Fraustro,-0.014492750488754171,1.285144042788573e-4,699,-0.022211731044349068,0.20109996982679093,Putting
06575,Dudley Hart,-0.01907565725284929,2.319477146509041e-4,232,-0.0556853448275862,0.21038066340942774,Putting
07867,Woody Austin,-0.017008570895395793,1.8457310924876305e-4,419,-0.03497613365155132,0.21059162818603389,Putting
12782,Tim Herron,-0.019319213839986513,2.4201592103060838e-4,194,-0.0619381443298969,0.21429366307922448,Putting
30711,Colt Knost,0.011505451230075951,8.798478425307732e-5,1305,0.016055172413793097,0.219976252291638,Putting
24357,K.J. Choi,0.01231702834512094,1.0620495402079876e-4,1009,0.018597621407334005,0.23201645703072676,Putting
26476,Chez Reavie,-0.013029973396608037,1.1938557533212674e-4,888,-0.01912387387387387,0.2330553375005902,Putting
26300,Matt Jones,0.01206723703001005,1.03031865035081e-4,1173,0.017971867007672636,0.23450408479274715,Putting
25892,Steve Wheatcroft,0.011378339818838788,9.43288922168054e-5,1257,0.016332537788385046,0.24138242699123852,Putting
30978,Kiradech Aphibarnrat,0.018476571115459674,2.5250330500655593e-4,176,0.07502840909090908,0.24492932298938255,Putting
29420,Billy Horschel,0.011297826067008725,9.579123821987534e-5,1289,0.01632738557020945,0.2483627142232496,Putting
34264,Hudson Swafford,0.010493150486933087,8.383978506443671e-5,1458,0.01443072702331962,0.2517992949781286,Putting
23788,D.J. Trahan,-0.018787494669376598,2.736994206137274e-4,140,-0.08710714285714287,0.2561168404388177,Putting
34256,Andrew Putnam,0.012290424972476776,1.1748769449635698e-4,946,0.019572938689217757,0.2568409288845,Putting
26289,Boo Weekley,-0.010821332043441474,9.766625251460558e-5,1175,-0.014482553191489346,0.27352288629704,Putting
34174,John Huh,0.009797496763790953,8.084484491837967e-5,1572,0.01333587786259542,0.2758652047598233,Putting
46435,Austin Cook,0.014797866163497413,1.8715128948391398e-4,369,0.03462872628726287,0.27939044371649946,Putting
46932,Gunn Yang,-0.016557811933071983,2.3527709142774828e-4,225,-0.04931555555555554,0.2803754397155856,Putting
25804,Bubba Watson,0.010883669042228436,1.0470914629651766e-4,982,0.016405295315682286,0.28750473810736726,Putting
29223,Sam Saunders,-0.010691048356703271,1.0243479395333368e-4,1102,-0.014551724137931037,0.2908208839111016,Putting
